store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude
2	BF Homes	Pres. Avenue cor. Aguirre St., BF Homes, Paranaque	8425445	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4486	121.03
3	Libertad	Libertad St. cor. Harrison St. Pasay City	7998456	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5462	120.994
4	Naghatan	Nagtahan cor. J.P.  Laurel, Sta. Mesa Mla.	7150963	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6004	120.999
5	U.N. Avenue	United Nation Ave., Ermita Manila	5218746	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5828	120.986
7	Quiapo	Beside Quiapo Church Quezon Blvd. Manila	7336051	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	QUIAPO	14.599	120.984
8	Faura	Adriatico St. cor. P. Faura Ermita Manila	5257595	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5776	120.982
10	Munoz	Roosevelt Ave. Nr. Cor. EDSA, Quezon City	3737577	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6571	121.019
11	Baclaran 1	Airport Quirino Ave., Baclaran Paranque	8527152	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.5273	120.997
12	Roces	A. Roces Cor. Quezon Ave., Quezon City	2638473	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6332	121.02
17	Buendia	Buendia Ave. Nr Cor Taft Ave. Pasay City	5512408	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.554	120.998
20	Boni	Boni Ave. Cor. EDSA, Mandaluyong City	5313156	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5728	121.047
22	Retiro	Retiro St. Cor. Dimasalang St., Sampaloc Mla.	7426480	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6241	120.989
24	Paco 1	Pedro Gil St. Cor. Paz St. Paco Manila	5638811	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	PACO	14.5786	120.995
30	Burgos	Libertad St. Cor.  Burgos St., Pasay City	8332508	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5481	121.001
31	Barangka	Boni Ave. Cor. Barranca Drive, Mandaluyong City	6544297	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5757	121.041
33	Dapitan	Maceda St. Cor. Dapitan St., Sampaloc Mla.	7126042	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6177	120.995
35	Pasig Church	Caruncho Ave. Cor. Sixto Antonio St., Pasig City	6412137	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.561	121.077
36	JRC-Shaw	ShawBlvd. Cor. Kalentong St., Mandaluyong	5316722	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5934	121.027
37	Novaliches 1	Gen. Luis St. Cor. Austria St., Nova. Q.C.	9373516	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.7219	121.039
38	PILAR	ALABANG ZAPOTE RD. COR. PILAR, LAS PI?AS	8003710	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4317	121.014
39	MCU	EDSA Cor. Asucion St. Caloocan City	3636279	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.6574	120.988
40	Almeda	Almeda St. Cor., M. Concepcion St. Pasig City	6435147	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5515	121.074
41	Marulas	McArthur Hway Cor. Pio Valenzuela, Val.	2916485	NCR - National Capital Region	NCR, THIRD DISTRICT	CITY OF VALENZUELA	14.6737	120.982
43	Malibay	EDSA Cor. C. Jose St., Malibay Pasay City	8537299	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5385	121.011
44	Bacoor	Talaba Rd. Cor. Aguinaldo H-Way Bacoor Cavite	9703946	REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.462	120.963
45	Gagalangin	Juan Luna Cor. Pampanga St. Gagalangin, Mla.	2538025	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	TONDO I / II	14.629	120.974
46	Pandacan	Jesus Cor. Laborers  St., Pandacan Manila	5641954	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	PANDACAN	14.5927	121.004
47	Singalong	Singalong St. Cor. San Andres St. Manila	5369004	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	PACO	14.5715	120.995
54	Muntinlupa 1	Rizal Ave., Nr Cor. National H-Way Muntinlupa	8611725	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MUNTINLUPA	14.3891	121.045
56	Evangelista	Pio Del Pilar Cor. Evangelista, Makati City	8175403	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5509	121.01
57	Commonwealth	Tandang Sora Ave. Cor. Commonwealth Ave. Q.C	4550333	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6642	121.068
59	Revilla	EDSA Cor. C. Revilla St. Pasay City	8327252	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5373	121.001
60	Cainta Junction	A. Bonifacio St. Cor. Ortigas Extn. Cainta Rizal	6567253	REGION IV-A (CALABARZON)	RIZAL	CAINTA	14.5862	121.115
63	Guadalupe	EDSA Nr Cor R. Magsaysay Guadalupe Mkt. City	7286954	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5652	121.045
64	Masinag	Marcos H-Way Cor. Sumulong H-Way, Antipolo	6451151	REGION IV-A (CALABARZON)	RIZAL	CITY OF ANTIPOLO	14.6257	121.125
65	Road 8	Road 8 Cor. Visayas Ave., Proj. 6 Q.C.	4540004	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6628	121.044
66	MH Del Pilar	A. Flores St. Cor. M.H. Del Pilar, Ermita Mla	4848117	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5788	120.979
67	St. James	TSora Ave. Cor. Mindanao Ave Q.C.	4540050	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6771	121.032
68	Murphy	15TH Ave. Cor Liberty Ave. Murphy Cubao Q.C.	9138281	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.615	121.062
69	PCU	Pedro Gil Cor. Leon Guinto St. Malate Mla.	5361661	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5764	120.989
71	A Bonifacio	A. Bonifacio Cor Shaw Blvd. Mandaluyong City	5324307	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5896	121.035
72	Calamba	National HiWay Cor. JP Rizal St. Calamba Laguna	5455694	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.2055	121.156
74	Canaynay	Dr. A. Santos Avenue Cor Canaynay Ave. Pque.	8254254	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.475	121.001
75	Antipolo Church	Oliveros St. Cor Masangkay, Antipolo Rizal	6508997	REGION IV-A (CALABARZON)	RIZAL	CITY OF ANTIPOLO	14.5878	121.175
76	Pasig Rotonda	Pasig Blvd. Cor Sixto Antonio, Pasig City	6410593	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5661	121.076
78	Bruger	National Rd. Bruger St. Putatan Muntinlupa	8611724	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MUNTINLUPA	14.3946	121.045
80	Marcelo	West Service Rd. Cor Marcelo Ave. Paranque	8210988	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4758	121.045
82	San Antonio	Sucat Rd. Cor San Antonio Ave., San Dionisio Pque	8254252	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.465	121.02
85	FB Harrison	FB Harrison Near Cor Vito Cruz Mla.	5360704	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.56	120.99
86	Tayuman	Tayuman Cor Rizal Ave. Sta. Cruz Mla.	7438453	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SANTA CRUZ	14.6167	120.983
87	Imus	Aguinaldo H-Way Cor Tanzang Luma, Imus Cavite	5022550	REGION IV-A (CALABARZON)	CAVITE	IMUS	14.4618	120.942
88	Antipolo Junction	Circumferential Rd Cor M.L. Quezon, Antipolo	6507089	REGION IV-A (CALABARZON)	RIZAL	CITY OF ANTIPOLO	14.5809	121.176
90	Bangkal	Evangelista Cor. Alejandro St., Bangkal Mkt.	8890340	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5396	121.012
91	San Pedro 1	National H-Way Cor Maharlika, San Pedro Laguna	8682229	REGION IV-A (CALABARZON)	LAGUNA	SAN PEDRO	14.3669	121.051
93	Meycauyan 2	Malhacan Rd. Cor MCArthur H-Way, Meycauyan	9352982	REGION III (Central Luzon)	BULACAN	CITY OF MEYCAUAYAN	14.7372	120.961
96	San Pedro 2	A. Mabini Cor Garcia St. San Pedro Laguna	8688296	REGION IV-A (CALABARZON)	LAGUNA	SAN PEDRO	14.3673	121.053
97	Cavite City	Cajigas Cor Burgos St., Cavite City	5043865	REGION IV-A (CALABARZON)	CAVITE	CAVITE CITY	14.4797	120.898
98	Ylaya	Ylaya Cor Lakandula St. Binondo Manila	2453422	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	BINONDO	14.6072	120.967
99	Dasmarinas 1	P. Campos Cor. Cantibuhan, Dasmarinas Cavite	9730025	REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.3267	120.936
100	Balibago	Natl H-Way Cor R. Lazaga, Balibago Sta Rosa	5342905	REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.2959	121.106
101	Blum 2	Blumentritt Cor Isagani St., Manila	7494290	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	BINONDO	14.625	120.987
102	Hermosa	J. Abad Santos Cor Hermosa St., Tondo Manila	2534061	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	TONDO I / II	14.632	120.98
103	Kabihasnan	Quirino Avenue Cor Kabihasnan San Dionisio Pque	8269318	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4921	120.988
104	Galas	Unang Hakbang Cor Luzon Ave. Galas Q.C.	7153280	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6122	121.009
105	Lower Bicutan	Gen Santos Cor ML Quezon, Lower  Bicutan Taguig	8374305	NCR - National Capital Region	NCR, FOURTH DISTRICT	TAGUIG CITY	14.4887	121.061
106	Tamarw Hills	MCArthur H-Way Cor Tamaraw Hills, Marulas Val.	2932630	NCR - National Capital Region	NCR, THIRD DISTRICT	CITY OF VALENZUELA	14.6787	120.98
107	Cabuyao	J.P. Rizal Cor Circumferential Ave. Cabuyao Laguna	8320117	REGION IV-A (CALABARZON)	LAGUNA	CABUYAO	14.2772	121.123
108	Chico	Anonas Cor Chico, Project 2, Q.C.	9289702	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6325	121.06
111	Molino 1	Molino Rd Cor Bahayang Pag-Asa Molino Bacoor	4773083	REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.3981	120.978
112	San Pablo	Rizal Avenue Cor A. Flores, San Pablo City	5627858	REGION IV-A (CALABARZON)	LAGUNA	SAN PABLO CITY	14.0694	121.326
113	Tanay	Plaza Rizal cor. P. Burgos, Tanay, Rizal	6541070	REGION IV-A (CALABARZON)	RIZAL	TANAY	14.4975	121.285
114	Dasmarinas 2	Aguinaldo H-Way Cor Mangubat, Dasmarinas	468502667	REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.3266	120.94
115	Molino 2	Molino Rd., San Nicolas Bacoor	465723810	REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4262	120.975
116	Rosario-Salinas	Gen Trias Drive, Salinas Rosario Cavite	464380651	REGION IV-A (CALABARZON)	CAVITE	ROSARIO	14.4148	120.856
118	GMA	GMA Drive Cor Governors Drive, GMA Cavite	469724663	REGION IV-A (CALABARZON)	CAVITE	GEN. MARIANO ALVAREZ	14.2837	120.999
119	Binan 2	Natl H-Way Cor Malvar Rd. Binan Laguna	494111759	REGION IV-A (CALABARZON)	LAGUNA	BI?AN	14.3331	121.082
120	Balagtas	MCArthur HWay, Wawa Balagtas, Bulacan	449181123	REGION III (Central Luzon)	BULACAN	BALAGTAS (BIGAA)	14.8177	120.907
121	Pulang Lupa	Quirino Ave.  Cor Naga Rd. Pulang Lupa Las Pinas	8732765	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4732	120.977
122	BF Resort	Zapote Alabang Cor BF Resort Drive, Las Pinas	8744545	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4445	120.994
123	Parang	Del Pilar Cor M.L. Quezon St., Parang Marikina	3992167	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.6598	121.113
125	J.P. Ramoy	J.P. Ramoy Cor Quirino H-Way, Talipapa Novaliches	4539644	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6859	121.024
126	Cainta Church	A Bonifacio Avenue, Cainta Rizal	6550837	REGION IV-A (CALABARZON)	RIZAL	CAINTA	14.577	121.117
127	Tatlong Hari	Rizal Avenue Cor T. Hari, Sta Rosa Laguna	498373711	REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.3149	121.112
128	LOS BA?OS	NATIONAL ROAD, BATONG MALAKE, LOS BA?OS LAGUNA	495360153	REGION IV-A (CALABARZON)	LAGUNA	LOS BA?OS	14.1784	121.242
130	Binakayan	Tirona H-Way Cor Bisita St., Binakayan Cavite	464342610	REGION IV-A (CALABARZON)	CAVITE	KAWIT	14.4497	120.923
131	Lipa H-Way	National H-Way (Big Ben Comm. Complex) Lipa City	439811883	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	13.9424	121.153
132	Trece Martirez	Governors Drive Cor Indang Tanza, Trece Martirez	464192934	REGION IV-A (CALABARZON)	CAVITE	TRECE MARTIRES CITY (Capital)	14.2821	120.869
133	Tagaytay	Tagaytay Rotonda, Tagaytay	468602667	REGION IV-A (CALABARZON)	CAVITE	TAGAYTAY CITY	14.1152	120.962
134	Molave	Molave Rd Cor Bayan-Bayanan Concepcion Mkna	9862412	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.651	121.112
135	Panapaan	Tirona HWay Nr Cor Aguinaldo HWay Bacoor	469707010	REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4456	120.952
136	Apalit	MC Arthur HWay Cor David St., Apalit Pamoanga	458790505	REGION III (Central Luzon)	PAMPANGA	APALIT	14.9503	120.759
137	San Pedro 3	Pacita Ave. Nr Cor Macaria Ave. San Pedro Laguna	8479192	REGION IV-A (CALABARZON)	LAGUNA	SAN PEDRO	14.3435	121.058
138	Lipa Proper	C.M. Recto Avenue, Lipa City	439810437	REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	13.9416	121.163
141	Camarin	Camarin Cor Susano  Rd., Caloocan	9629129	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.756	121.044
142	Tanza	Sta Cruz Cor Agustin, Tanza Cavite	465052667	REGION IV-A (CALABARZON)	CAVITE	TANZA	14.4001	120.857
144	Aglipay	A.T. Reyes Cor. Boni Avenue, Aglipay Mandaluyong	5343557	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5863	121.026
145	Naic	Nazareno Cor. Poblete St., NAIC Cavite	464120727	REGION IV-A (CALABARZON)	CAVITE	NAIC	14.3195	120.764
147	Shorthon	Road 20 Cor. Shorthom Proj 8, Q.C.	4531311	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6684	121.02
148	J.P. Rizal	Constancia St., Cor J.P. Rizal Avenue, Makati	8991225	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5709	121.02
150	Zabarte	Quirino Cor Zabarte Rd. Novaliches	4170220	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.7316	121.048
152	Dasma 3	Congressional Rd., Dbb, Dasmarinas	455402023	REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.3221	120.964
153	Pedro Gil Main	Pedro Gil Cor. Main St., Paco Manila	5616821	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	PACO	14.5787	121
154	Insular Burgos	P Burgos Cor. Gen Luna Makati City	8953440	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5646	121.031
155	San Andres Onyx	A. Francisco Cor Onyx, San Andres Manila	5616819	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	PACO	14.5737	121.004
156	Guadalupe 2	Kalayaan, Guadalupe Nuevo, Makati	8823325	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5591	121.046
158	N. Domingo	N Domingo Cor F. Blumentritt, San Juan	7241027	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF SAN JUAN	14.6047	121.023
160	San Bartolome	P. Dela Cruz Near Corner Quirino H-Way, SB	9391045	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.701	121.035
162	San Fernando	San Fernando Pampanga	459637574	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.029	120.693
165	Superlines	EDSA Cor. Monte De Piedad St. Cubao Q.C.	4148267	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6246	121.048
166	Columbia	Grnd. Flr. Columbia Tower Mandaluyong City	7247800	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5946	121.056
167	Jupiter	Makati Ave. Cor. Gil Puyat Ave. Makati City	8977445	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5617	121.028
168	T.M. Kalaw	Kimme Bldg. T.M. Kalaw Cor. Mabini St. Ermita M.M.	4906068	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.581	120.98
172	West Avenue	West Ave. Corner Zamboange St. Q.C	2638476	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6383	121.026
175	MCU 2	Benin St., Cor. EDSA, Caloocan City	3301380	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.6569	120.986
176	Farmers	Space 1&2,2nd Level,New Farmers Plaza,Cubao,Q.C.	4391319	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6201	121.051
180	Batangas City	P. Burgos St.,cor. Panganiban St., Batangas City	437230926	REGION IV-A (CALABARZON)	BATANGAS	BATANGAS CITY (Capital)	13.7559	121.059
184	Doroteo Jose	D. Jose St. cor. Rizal Ave., Sta. Cruz, Manila	7416551	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SANTA CRUZ	14.6051	120.982
185	Global Plaza	Airport Rd. cor. Coastal Rd., Global Plaza Bldg.	8523733	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.5172	120.994
187	Virra 1	Virra 1 Bldg., P. Burgos St., Makati City	8982240	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5633	121.029
188	Panay Avenue	Quezon Avenue, corner EDSA, Quezon City	4130594	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6433	121.038
192	Turbina	Turbina	5456290	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1853	121.137
193	Bauan	Bauan Batangas	9801535	REGION IV-A (CALABARZON)	BATANGAS	BAUAN	13.7907	121.01
194	Angono	Angono Rizal	4511081	REGION IV-A (CALABARZON)	RIZAL	ANGONO	14.5236	121.153
195	RFM	RFM, Pasig	7475308	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5711	121.052
196	Urdaneta	Brgy Polacion, Urdaneta City, Pangasinan	696048900	REGION I (Ilocos Region)	PANGASINAN	CITY OF URDANETA	15.9724	120.571
198	Matalino	Matalino Q.C.	4346097	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6446	121.05
199	Rizal Med	Pasig Blvd. cor F. Banaag, Pineda Pasig City	6721669	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5636	121.065
200	Carmen	Mc Arthur Highway, Carmen Rosales, Pangasinan	755823488	REGION I (Ilocos Region)	PANGASINAN	ROSALES	15.8834	120.599
204	Precilla	Pasong Tamo Extension	8300272	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5348	121.022
205	UE Recto	UE Claro M. Recto Avenue, Manila	7364934	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6017	120.989
206	Zapote	Alabang Zapote Rd. cor. F. Santos, Las Pi?as City	8738861	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4637	120.969
208	Angeles	Sto. Rosario corner Sukdulan Street, Angeles City	425009600	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1333	121.001
209	Dagupan	Arellano Street, Dagupan City	696055400	REGION I (Ilocos Region)	PANGASINAN	DAGUPAN CITY	16.0476	120.342
210	Session 2	GF B-105 Lopez Bldg., Session Rd., Baguio City	744465499	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4131	120.597
211	Orosa	MY Orosa nr. cor., TM Kalaw, Ermita Manila	5275862	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5816	120.981
212	Lemery	Ilustre Ave. cor. P. Burgos St., Lemery, Batangas	434090135	REGION IV-A (CALABARZON)	BATANGAS	LEMERY	13.8805	120.916
213	Parkview	Valero St., cor. Salcedo Village, Makati City	7506780	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5585	121.022
214	San Pablo 2	Leonor St. cor. Maharlika Hi-way San Pablo Laguna	495621412	REGION IV-A (CALABARZON)	LAGUNA	SAN PABLO CITY	14.0643	121.323
215	Crame	Boni Serrano cor. 2nd Ave. Camp Crame, Q.C.	2345056	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6104	121.053
216	Bac 2	Quirino Ave. CR. Dimasalang, Baclaran, P'que	8319748	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.5302	120.997
217	Nova 3	Quirino H-way cor. Sarmiento St., Novaliches City	2173320	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.7194	121.04
218	Taytay2	Manila-East  Road, Taytay Rizal	9238554	REGION IV-A (CALABARZON)	RIZAL	TAYTAY	14.5591	121.136
219	P. Campa	Espana cor. P. Campa Sampaloc St., Manila	7367206	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6055	120.989
220	LB Air	Sta. Rosa - Tagaytay road Sta. Rosa Laguna	498381152	REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.2638	121.074
221	Bac 3	Roxas Blvd., Baclaran, Paranaque	8530092	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.5332	120.994
222	Calam 2	National H-way nr. cor. Halang st., Calamba Laguna	495357355	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1967	121.163
224	Luisita	Mc Arthur H-way, San Miguel Tarlac City	459851140	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4838	120.599
226	Legarda	2108 Legarda st., Quiapo Manila	4880739	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	QUIAPO	14.5991	120.991
227	Epza-Rosario	Gen. Trias Drive Rosario Cavite	464387109	REGION IV-A (CALABARZON)	CAVITE	ROSARIO	14.4075	120.859
228	Bocaue	McArthur Hi-way cor. Gov. F.Halili Ave. Bocaue	449201055	REGION III (Central Luzon)	BULACAN	BOCAUE	14.9518	120.929
229	Cityland10	Cityland10 Tower Valero cor dela Costa St.,Makati	8935601	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5608	121.017
231	Mkti City Hall	1335 Angono cor. Hormige St. Poblacion, Makati	8976375	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5705	121.026
232	CBC	115 G/F CBC, Paseo cor. Pasay Rd., Makati	8402903	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5511	121.019
234	La Huerta	Quirino Ave. cor. Dandan St., La Huerta, Para?aque	8200296	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4999	120.991
236	UP Manila	Pedro Gil St nr. cor. Taft Ave., Malate, Manila	5214987	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5759	120.988
237	Orient	Ruby Road, Ortigas Center, Pasig City	6876941	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5852	121.061
239	Park N' Ride	P. Burgos cor. Dr. Basa St., Ermita Manila	5217035	NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5933	120.98
240	Salcedo	Antel 2000 Bldg. Makati	8870161	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5591	121.02
241	St. Luke's	E. Rodriguez cor. Victoria St., New Manila, Q.C.	4145914	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6216	121.024
242	Mabini- 10th Ave	Mabini cor 10th Ave, Caloocan City	2882085	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.6503	120.973
243	Merville	Moreland Bldg.  cor West Service Rd	7760483	NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5085	121.033
244	Guada 3	F. Yabut St. near cor EDSA Makati City	8820171	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5651	121.046
245	QA-Araneta	Quezon Ave cor Araneta Avenue,Quezon City	7426241	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.628	121.013
248	Pasig Mega	Mega Parking , Caruncho cor Market Avenue	2636398	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5582	121.083
249	Binangonan	Quezon St., Libis, Binangonan, Rizal	2892370	REGION IV-A (CALABARZON)	RIZAL	BINANGONAN	14.4646	121.192
250	Aurora	Aurora Blvd. cor St. Mary,Cubao, Quezon City	9116230	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6226	121.052
251	Nobel	G/F,110 Nobel Plaza,Valero St., Makati City	8886458	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5598	121.019
252	Talon	J. Aguilar Ave ,Talon,Las Pinas City	8735772	NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4456	120.994
